Title,Description,Status,Priority,Labels,Estimate
P0 · Модуль контактов и env-конфиг,"Установить зависимости, прочитать доки Next 16 по Route Handlers, создать lib/contacts.ts как единственный источник правды по WhatsApp/Telegram/email, завести .env.example.

План: `docs/superpowers/plans/2026-08-13-lead-capture-and-analytics.md` → Task 1
Полные шаги, код и критерии приёмки — в плане.
📥 Нужны данные от заказчика: номер WhatsApp, Telegram-хэндл, email",Todo,Urgent,"P0,backend,setup",2
P0 · Валидация заявки,"lib/leadPayload.ts: типы LeadPayload/LeadChannel и чистая функция validateLead(), общая для клиента и сервера. Плюс isBot() для honeypot. Без zod — ноль новых зависимостей.

План: `docs/superpowers/plans/2026-08-13-lead-capture-and-analytics.md` → Task 2
Полные шаги, код и критерии приёмки — в плане.",Todo,Urgent,"P0,backend",2
P0 · Rate limit и доставка в Telegram,"lib/rateLimit.ts — in-memory скользящее окно по IP (5 запросов в минуту). lib/telegram.ts — отправка заявки через Bot API с экранированием HTML.

План: `docs/superpowers/plans/2026-08-13-lead-capture-and-analytics.md` → Task 3
Полные шаги, код и критерии приёмки — в плане.",Todo,Urgent,"P0,backend",3
P0 · Route Handler POST /api/lead,"app/api/lead/route.ts: валидация → honeypot → rate limit → Telegram. Контракт: 200/400/429/500. Ручная проверка всех четырёх веток через curl, включая реальную доставку сообщения.

План: `docs/superpowers/plans/2026-08-13-lead-capture-and-analytics.md` → Task 4
Полные шаги, код и критерии приёмки — в плане.
📥 Нужны данные от заказчика: TELEGRAM_BOT_TOKEN, TELEGRAM_CHAT_ID",Todo,Urgent,"P0,backend",3
P0 · Хук отправки и строки состояний форм,"components/forms/useLeadSubmit.ts на @tanstack/react-query (провайдер уже смонтирован, но не использовался). Плюс RU/EN копия для состояний loading/success/error и ошибок полей.

План: `docs/superpowers/plans/2026-08-13-lead-capture-and-analytics.md` → Task 5
Полные шаги, код и критерии приёмки — в плане.",Todo,Urgent,"P0,frontend,i18n",3
P0 · Оживить обе формы и футер,"Contact.tsx: контролируемые табы (активный таб = канал заявки), одна форма вместо трёх идентичных копий, honeypot, состояния, ошибки полей. Кликабельные ссылки WhatsApp/Telegram/email в футере. FloatingCapture.tsx: убрать фальшивый setSent(true), подключить реальную отправку.

План: `docs/superpowers/plans/2026-08-13-lead-capture-and-analytics.md` → Task 6
Полные шаги, код и критерии приёмки — в плане.
⛔ Блокируется: Task 5",Todo,Urgent,"P0,frontend",5
P0 · Яндекс.Метрика и события воронки,"lib/analytics.ts — безопасная обёртка track(). YandexMetrika.tsx через next/script с вебвизором. События: lead_submitted, lead_failed, cta_click. Без счётчика страница должна работать штатно.

План: `docs/superpowers/plans/2026-08-13-lead-capture-and-analytics.md` → Task 7
Полные шаги, код и критерии приёмки — в плане.
📥 Нужны данные от заказчика: номер счётчика Метрики",Todo,Urgent,"P0,analytics",3
P0 · Приёмка,"tsc + eslint + i18n-parity + build. Прогон обеих локалей в браузере с реальной отправкой. Проверка, что секреты не утекли в репозиторий.

План: `docs/superpowers/plans/2026-08-13-lead-capture-and-analytics.md` → Task 8
Полные шаги, код и критерии приёмки — в плане.
⛔ Блокируется: все задачи P0",Todo,Urgent,"P0,qa",2
P1 · Секция собственных кейсов,"lib/caseStudies.ts (цифры отдельно от переводимой копии) + components/sections/Cases.tsx через skill new-section, позиция после market-cases. Сейчас сайт показывает только чужие бренды — Rhode, Chamberlain, Skims — как доказательство своей компетенции.

План: `docs/superpowers/plans/2026-08-13-trust-and-conversion-sections.md` → Task 1
Полные шаги, код и критерии приёмки — в плане.
📥 Нужны данные от заказчика: реальные кейсы с цифрами и разрешением на публикацию имени",Todo,High,"P1,content,trust",5
P1 · FAQ,"10 вопросов, снимающих подтверждённые возражения: цена, что если не продастся, минимальный тираж, сроки, права на бренд, расчёт доли, возвраты, образец. FAQ есть у обоих прямых RU-конкурентов и у Fourthwall — у LORE нет. Самая дешёвая задача с самым большим эффектом.

План: `docs/superpowers/plans/2026-08-13-trust-and-conversion-sections.md` → Task 2
Полные шаги, код и критерии приёмки — в плане.
📥 Нужны данные от заказчика: коммерческие условия для ответов",Todo,High,"P1,content,trust",3
